File_Version	2
1	447001	1	Team1-CST	College of Science and Technology	CST	BTN	INST-1
2	447002	1	Team2-CST	College of Science and Technology	CST	BTN	INST-1
3	447003	1	Team3-CST	College of Science and Technology	CST	BTN	INST-1
4	447004	1	Team4-CST	College of Science and Technology	CST	BTN	INST-1
5	447005	1	Team5-CST	College of Science and Technology	CST	BTN	INST-1
6	447006	2	Team1-GCIT	Gyalpozhing College of Information Technology	GCIT	BTN	INST-2
7	447007	2	Team2-GCIT	Gyalpozhing College of Information Technology	GCIT	BTN	INST-2
8	447008	2	Team3-GCIT	Gyalpozhing College of Information Technology	GCIT	BTN	INST-2
9	447009	2	Team4-GCIT	Gyalpozhing College of Information Technology	GCIT	BTN	INST-2
10	447010	2	Team5-GCIT	Gyalpozhing College of Information Technology	GCIT	BTN	INST-2
